x,y,z
-4.2,46.7,-4.0
-4.0,46.8,-4.5
-4.5,48.1,-4.0
-3.3,47.6,-4.5
0.0,0.0,0.0
-2.4,48.1,-6.5
-3.5,47.8,-4.0
-3.5,48.1,-4.0
-3.3,46.1,-4.9
0.0,0.0,0.0
-4.7,46.8,-5.2
-2.9,47.6,-4.9
-3.3,45.4,-5.2
-3.1,48.8,-5.4
0.0,0.0,0.0
-4.4,47.2,-5.2
-4.0,48.3,-4.5
-3.6,48.3,-4.9
-3.8,48.8,-4.4
-3.1,48.5,-4.4
0.0,0.0,0.0
-4.2,47.4,-4.0
-2.7,47.8,-5.8
-3.6,48.7,-5.2
-3.6,47.2,-4.9
0.0,0.0,0.0
-4.4,47.9,-3.5
-4.0,46.8,-5.6
-3.5,45.9,-6.5
-4.4,47.9,-5.2
0.0,0.0,0.0
-4.5,48.8,-5.4
-4.4,47.6,-5.6
-3.5,45.9,-5.1
-4.7,47.6,-4.9
0.0,0.0,0.0
-3.1,47.4,-4.4
-3.5,47.0,-4.4
-5.1,46.1,-5.2
-3.6,47.9,-4.9
0.0,0.0,0.0
-4.2,49.2,-4.7
-4.0,47.2,-5.2
-4.0,47.6,-4.2
-3.5,46.7,-4.7
0.0,0.0,0.0
-3.3,47.6,-4.5
-3.5,47.0,-5.4
-3.3,46.8,-5.6
-4.5,48.5,-5.1
0.0,0.0,0.0
-4.2,47.8,-5.8
-3.5,47.8,-5.4
-3.3,46.5,-5.2
-4.2,47.8,-4.7
0.0,0.0,0.0
-4.4,47.9,-4.2
-2.7,47.8,-5.4
-4.0,48.7,-4.2
-3.3,46.5,-5.9
0.0,0.0,0.0
-4.2,48.1,-5.4
-3.6,47.2,-4.9
-4.2,45.9,-4.4
-3.8,47.0,-5.1
0.0,0.0,0.0
0.0,48.3,-3.5
5.6,48.5,-4.7
13.6,44.8,-5.8
18.2,39.9,-8.7
22.2,36.7,-13.6
0.0,0.0,0.0
26.5,37.8,-16.1
29.1,40.7,-17.5
27.4,36.5,-18.0
27.2,32.7,-15.7
0.0,0.0,0.0
29.4,26.1,-15.4
31.4,31.0,-16.2
29.2,30.3,-17.3
29.1,40.3,-17.8
0.0,0.0,0.0
26.9,53.0,-20.9
16.0,64.6,-25.8
9.8,69.0,-29.3
3.1,72.4,-31.9
0.0,0.0,0.0
-3.3,73.4,-35.3
-8.2,72.8,-36.5
-10.7,71.0,-35.1
-6.5,69.7,-29.0
0.0,0.0,0.0
-4.7,67.5,-24.8
-4.2,63.7,-22.2
-5.3,63.7,-19.0
-7.4,63.4,-16.9
0.0,0.0,0.0
-8.4,63.5,-19.2
-2.0,64.1,-19.7
3.6,64.6,-20.6
12.3,62.1,-20.2
0.0,0.0,0.0
18.7,56.5,-20.1
25.6,47.0,-17.3
28.1,35.4,-14.8
30.9,23.6,-15.0
0.0,0.0,0.0
23.6,14.5,-14.3
14.5,5.1,-13.6
4.0,0.7,-15.0
-3.3,-2.2,-16.1
0.0,0.0,0.0
-9.6,-2.0,-18.3
-18.2,0.7,-19.5
-25.2,4.9,-20.4
-29.8,12.3,-23.4
0.0,0.0,0.0
-34.1,13.8,-24.1
-35.0,15.1,-24.3
-32.3,12.0,-24.1
-25.2,2.7,-22.2
0.0,0.0,0.0
-15.6,-1.1,-20.9
-1.8,-4.7,-18.9
7.1,-2.4,-18.3
14.7,2.0,-16.2
20.9,5.6,-16.2
0.0,0.0,0.0
28.0,15.6,-16.1
31.2,26.1,-19.5
31.2,35.6,-18.5
29.2,42.7,-19.7
0.0,0.0,0.0
24.9,54.3,-20.8
20.9,60.1,-22.5
22.9,59.2,-22.7
26.3,55.7,-20.8
0.0,0.0,0.0
28.3,50.8,-18.2
28.1,48.8,-18.0
29.8,43.2,-16.8
29.2,36.1,-16.9
0.0,0.0,0.0
31.0,28.1,-19.0
30.9,22.9,-17.1
31.0,18.0,-16.9
30.7,16.5,-18.3
0.0,0.0,0.0
30.0,13.3,-19.0
28.9,11.1,-19.4
29.4,12.3,-18.9
29.6,13.3,-17.3
0.0,0.0,0.0
30.7,15.4,-18.0
31.6,16.7,-17.8
30.7,18.0,-17.3
31.2,17.4,-18.2
0.0,0.0,0.0
32.7,18.5,-18.9
30.1,19.6,-18.9
31.6,20.0,-18.5
32.0,21.1,-17.5
0.0,0.0,0.0
31.8,19.1,-17.6
31.0,20.2,-18.0
30.1,21.8,-15.7
32.5,22.0,-16.9
0.0,0.0,0.0
31.2,22.5,-15.0
33.2,20.5,-18.0
33.0,21.8,-15.7
36.5,21.2,-18.3
0.0,0.0,0.0
43.2,20.0,-27.9
47.4,31.4,-36.8
47.2,42.1,-44.0
39.8,58.3,-59.5
0.0,0.0,0.0
26.1,65.7,-74.0
15.8,69.5,-78.0
0.2,65.5,-84.0
-2.0,69.2,-79.1
2.5,73.0,-73.0
0.0,0.0,0.0
13.8,73.7,-66.7
26.3,70.6,-57.8
29.6,71.4,-46.6
28.9,65.2,-33.3
0.0,0.0,0.0
29.2,55.4,-18.7
30.3,43.0,-12.0
28.3,31.6,-9.4
14.9,19.2,-3.8
0.0,0.0,0.0
3.8,10.3,-3.0
-3.5,4.9,-5.8
-15.8,5.3,-11.3
-31.2,12.3,-17.1
0.0,0.0,0.0
-35.8,16.5,-19.4
-40.1,22.0,-19.7
-37.2,22.7,-20.4
-41.8,23.6,-23.7
0.0,0.0,0.0
-44.7,23.6,-28.3
-45.6,17.2,-32.6
-39.8,8.9,-31.6
-40.1,6.7,-32.6
0.0,0.0,0.0
-45.2,6.7,-40.0
-47.4,16.2,-52.9
-46.8,19.2,-62.5
-45.2,23.4,-69.6
0.0,0.0,0.0
-42.3,23.8,-75.2
-40.7,23.2,-77.8
-40.5,20.2,-78.0
-41.0,13.4,-72.6
0.0,0.0,0.0
-41.8,8.7,-58.6
-42.9,6.2,-47.5
-35.4,6.4,-28.4
-30.7,2.0,-21.8
0.0,0.0,0.0
-18.7,0.9,-14.5
-10.0,-0.2,-12.4
0.7,-1.5,-11.5
12.3,5.1,-8.4
0.0,0.0,0.0
26.5,18.5,-10.8
37.4,25.8,-18.9
44.1,35.0,-26.4
44.5,38.7,-27.8
0.0,0.0,0.0
42.1,33.8,-25.5
39.6,25.4,-22.7
41.8,18.5,-23.7
36.0,16.0,-18.5
35.6,16.0,-19.2
0.0,0.0,0.0
39.0,19.4,-21.1
42.5,29.4,-25.1
42.9,43.2,-30.4
40.1,53.6,-33.7
0.0,0.0,0.0
29.2,69.2,-44.2
20.7,75.2,-49.9
17.6,76.1,-53.9
25.2,70.6,-46.3
0.0,0.0,0.0
34.1,61.4,-32.8
41.4,43.9,-27.6
41.2,30.3,-22.2
32.5,16.9,-15.5
0.0,0.0,0.0
13.6,12.5,-6.5
6.5,17.4,-1.4
9.4,27.6,-2.1
20.5,39.4,-7.2
0.0,0.0,0.0
30.7,54.3,-19.0
25.8,71.2,-39.4
6.0,80.4,-63.4
-3.8,71.7,-77.7
0.0,0.0,0.0
-8.7,62.1,-88.7
-5.6,58.3,-92.7
5.6,60.5,-88.8
19.1,65.5,-80.5
0.0,0.0,0.0
35.4,59.4,-65.5
44.3,47.2,-53.4
49.0,30.1,-47.8
46.8,12.7,-48.5
0.0,0.0,0.0
38.7,-2.0,-53.2
28.1,-10.3,-57.4
16.5,-15.4,-49.7
10.5,-18.2,-42.6
0.0,0.0,0.0
0.9,-17.2,-36.1
14.0,-8.9,-26.0
40.7,7.3,-37.0
48.3,36.3,-55.5
0.0,0.0,0.0
24.9,69.5,-68.6
-5.3,72.8,-75.9
-5.8,70.1,-76.8
-6.9,65.7,-83.4
0.0,0.0,0.0
6.9,66.8,-84.1
21.8,63.2,-80.6
42.5,50.1,-67.7
45.8,38.1,-69.5
0.0,0.0,0.0
46.8,23.6,-65.6
46.1,12.3,-44.0
36.0,3.3,-32.8
23.2,-6.5,-23.7
15.3,-2.5,-16.1
0.0,0.0,0.0
7.1,4.2,-8.6
6.4,13.6,-4.0
11.4,16.5,-3.0
19.6,25.4,-3.1
0.0,0.0,0.0
22.9,35.6,-4.9
24.0,46.1,-9.8
21.1,53.4,-13.3
18.0,52.8,-8.9
0.0,0.0,0.0
12.9,48.1,-7.5
0.7,39.6,-1.4
-1.1,29.8,-0.7
6.9,25.1,0.3
0.0,0.0,0.0
14.9,25.4,-2.1
21.8,19.6,-6.6
24.5,8.9,-12.0
20.5,-3.1,-20.1
0.0,0.0,0.0
5.1,-13.4,-23.0
-17.8,-13.4,-31.8
-35.4,-3.8,-44.2
-47.2,12.0,-56.5
0.0,0.0,0.0
-47.8,18.7,-55.0
-45.6,14.7,-47.6
-38.1,2.9,-34.9
-17.4,-6.9,-20.2
0.0,0.0,0.0
-0.2,-1.6,-12.0
10.3,15.1,-5.1
10.5,33.8,-2.4
9.3,56.5,-10.3
0.0,0.0,0.0
2.0,71.0,-21.5
-6.2,76.6,-32.5
-14.2,78.1,-44.0
-23.1,68.8,-71.4
0.0,0.0,0.0
-25.1,60.3,-78.5
-27.4,57.2,-78.4
-28.5,62.3,-70.0
-18.3,73.9,-53.9
0.0,0.0,0.0
0.0,70.8,-23.0
8.5,51.4,-7.2
5.3,34.3,-0.9
-6.4,15.8,-3.0
0.0,0.0,0.0
-17.8,9.4,-9.4
-38.1,10.9,-23.7
-51.4,28.9,-51.8
-45.9,43.4,-61.3
0.0,0.0,0.0
-44.3,50.5,-64.6
-43.9,51.2,-62.8
-48.8,38.3,-59.9
-49.2,25.2,-53.9
-46.1,17.1,-50.6
0.0,0.0,0.0
-43.6,9.4,-42.2
-33.0,-1.1,-29.3
-15.3,-5.4,-17.5
-8.9,-2.0,-13.4
0.0,0.0,0.0
2.7,3.1,-7.9
22.5,22.9,-6.3
30.0,52.5,-19.0
23.6,68.3,-30.0
0.0,0.0,0.0
15.8,72.8,-36.1
11.3,76.3,-37.0
10.5,76.6,-45.4
19.4,72.8,-38.6
0.0,0.0,0.0
27.2,67.5,-35.3
33.0,60.6,-39.4
37.8,50.1,-29.7
28.9,44.5,-15.5
0.0,0.0,0.0
9.6,41.9,-4.4
-14.0,41.6,-4.4
-37.4,49.0,-23.0
-43.9,54.5,-44.3
0.0,0.0,0.0
-45.8,45.8,-38.0
-38.1,25.8,-19.5
-22.2,23.6,-6.6
-15.3,32.0,-2.1
0.0,0.0,0.0
-14.5,31.2,-2.4
-16.0,37.4,-3.1
-20.2,29.2,-3.0
-27.2,26.9,-7.0
0.0,0.0,0.0
-22.7,27.1,-8.2
-23.8,28.9,-6.8
-23.2,26.9,-5.2
-23.6,27.2,-4.5
0.0,0.0,0.0
-24.9,27.4,-7.5
-22.0,27.8,-6.1
-22.0,27.8,-5.8
-22.7,28.1,-6.5
0.0,0.0,0.0
-23.1,28.5,-5.1
-22.9,27.6,-4.5
-23.2,29.1,-5.9
-21.2,28.1,-5.4
0.0,0.0,0.0
-21.2,27.1,-5.4
-21.8,27.2,-5.9
-20.7,26.9,-4.9
-21.8,28.7,-4.5
-22.9,27.2,-5.6
0.0,0.0,0.0
-22.0,26.3,-6.1
-20.3,28.0,-3.8
-22.2,27.6,-6.6
-22.5,26.9,-5.9
0.0,0.0,0.0
-20.3,27.6,-5.6
-22.0,27.8,-6.5
-22.7,28.1,-5.4
-21.1,27.2,-6.6
0.0,0.0,0.0
-21.1,28.7,-5.6
-20.7,29.8,-5.9
-21.6,27.1,-4.4
-21.6,26.7,-5.8
0.0,0.0,0.0
-21.4,29.8,-5.9
-21.1,28.0,-6.3
